ID,NOME,DATA_NASCIMENTO,EMAIL,TELEFONE,ENDERECO_ID
ec2e748a-987d-4853-85d4-79ffaaf28b7b,Lucas Lima,1997-09-18,lucas.lima78@mail.com,(82) 99802-0917,1b80d79e-166d-4753-adb8-7615f2dc398e
779f448a-5b87-4622-ba01-ab1437be34df,Juliana Pinto,1968-12-29,juliana.pinto17@br.com,(19) 99519-4148,77a2b583-20b2-43ac-8b51-1206b48e88ca
a91cdf43-6b96-4404-9fdf-769ef562cb1c,Gabriel Ribeiro,1986-03-01,gabriel.ribeiro93@site.com,(96) 99722-4089,611c2cc7-8981-485c-975f-178ae36e6c62
866f742d-ebca-46d9-bf31-a92532a2dd16,Pedro Ribeiro,1971-06-28,pedro.ribeiro34@email.com,(22) 99496-5816,418bbe46-516c-498c-ada0-5fdece561454
1914289b-1a28-433b-b472-d22b06f18841,Camila Mendes,1995-07-30,camila.mendes78@br.com,(49) 98929-3816,52ac82d4-6b0e-4c90-8a4f-4f66e404c0ee
9c33a2f5-bd6f-442d-be44-48ccd5dfe2c2,João Ferreira,1965-01-19,joão.ferreira98@mail.com,(47) 98355-3749,1cad3ff9-f4d2-42fb-83b9-332bd7601407
b2fd0f46-ac4e-4cb8-8023-f94970a7a678,Beatriz Lopes,1988-07-07,beatriz.lopes23@site.com,(61) 99608-6582,7556d4fb-b161-497b-8425-14b7f70bf9a1
d86b73f3-f2da-4543-b01b-8beeb3666f86,Lucas Pereira,1982-12-02,lucas.pereira2@br.net,(88) 98923-4921,51203fbb-7c51-454e-b4af-9a6766e526bc
ba7764b6-1d87-4ae4-95f5-f8e73edc38a6,Felipe Almeida,2002-11-14,felipe.almeida53@br.net,(49) 98078-7965,950ec5a7-7514-4ebf-b71e-9f0fb3221401
b1086bce-ffea-41ca-b784-1bcd7c7b0c78,Beatriz Oliveira,1980-07-30,beatriz.oliveira93@br.com,(86) 98819-5121,1b80d79e-166d-4753-adb8-7615f2dc398e
8886f50e-f3a6-4a82-a138-a8f48a9563ca,Ana Nunes,1994-07-05,ana.nunes24@email.com,(21) 98154-7818,651b1292-77b5-4065-be1f-80db67d7e04a
231c6a64-cbbb-4bba-9f54-20a0382e6361,Felipe Santos,1980-07-08,felipe.santos74@email.com,(15) 99184-2836,e82e5a5d-3150-43f0-9a28-7b2a9806d7fe
d92f7576-855c-4e92-ac88-5ef511dd00cd,Juliana Pinto,1985-03-27,juliana.pinto80@email.com,(27) 99399-1727,dda35448-f979-411d-a8dc-85c16198cce3
